PERSON_ID,SOURCE_PERIOD,YEAR,WEIGHT,AGE,SEX,LABOUR_STATUS,OUTCOME_STATUS,FULLTIME_PARTTIME,GROSS_WEEKLY_PAY,HOURLY_RATE,HOURPAY,HIGHEST_QUAL,HEALTH_LIMITATION,ETHNICITY,COUNTRY_NAME,COUNTRY_CODE,REGION_CODE,COMBINED_AUTHORITY,ITL2_CODE,ITL3_CODE
117.0,2019-2021,2019,0,47,2,1,6,1.0,,,,8.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
118.0,2019-2021,2019,545,70,1,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
119.0,2019-2021,2019,619,63,2,1,1,2.0,129.0,80.0,7.59,72.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
120.0,2019-2021,2019,775,34,2,1,1,2.0,,,,38.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
121.0,2019-2021,2019,0,35,1,1,2,2.0,,,,58.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
122.0,2019-2021,2019,0,9,1,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
123.0,2019-2021,2019,0,7,1,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
124.0,2019-2021,2019,0,6,2,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
125.0,2019-2021,2019,0,3,2,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
126.0,2019-2021,2019,619,56,2,3,1,,,,,78.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
127.0,2019-2021,2019,525,68,2,1,1,2.0,72.0,8.21,7.2,48.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
128.0,2019-2021,2019,0,51,1,1,6,1.0,,,,58.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
129.0,2019-2021,2019,688,35,2,1,1,1.0,646.0,,24.85,8.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
130.0,2019-2021,2019,0,47,1,1,6,1.0,,,,58.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
131.0,2019-2021,2019,0,9,2,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
132.0,2019-2021,2019,0,5,1,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
133.0,2019-2021,2020,403,33,2,3,1,,,,,30.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
134.0,2019-2021,2020,0,34,1,1,2,1.0,,,,30.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
135.0,2019-2021,2020,0,1,2,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
136.0,2019-2021,2020,0,45,2,3,6,,,,,37.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
137.0,2019-2021,2020,147,74,2,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
138.0,2019-2021,2019,874,38,1,1,1,1.0,577.0,,36.06,8.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
139.0,2019-2021,2020,367,60,1,1,1,1.0,,,,45.0,1.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
140.0,2019-2021,2020,0,58,2,1,2,1.0,381.0,80.0,9.07,83.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
141.0,2019-2021,2020,284,74,2,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
142.0,2019-2021,2020,389,53,1,3,1,,,,,83.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
143.0,2019-2021,2020,312,82,1,3,7,,,,,,1.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
144.0,2019-2021,2020,232,54,2,1,1,1.0,,,,37.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
145.0,2019-2021,2020,240,58,1,1,1,1.0,,,,84.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
146.0,2019-2021,2020,217,49,2,1,1,1.0,510.0,80.0,12.14,28.0,1.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
147.0,2019-2021,2020,0,55,1,1,2,1.0,510.0,80.0,11.59,52.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
148.0,2019-2021,2020,0,18,2,1,2,2.0,,,,58.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
149.0,2019-2021,2021,580,34,2,1,1,1.0,774.0,,18.0,40.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
150.0,2019-2021,2021,374,47,2,1,1,2.0,288.0,9.3,9.6,8.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
151.0,2019-2021,2021,0,64,1,3,2,,,,,18.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
152.0,2019-2021,2021,0,24,2,1,2,2.0,53.0,9.0,3.31,43.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
153.0,2019-2021,2021,473,56,1,1,1,1.0,,,,8.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
154.0,2019-2021,2021,534,84,2,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
155.0,2019-2021,2021,393,49,2,1,1,1.0,450.0,,11.84,58.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
156.0,2019-2021,2021,0,58,1,1,2,1.0,542.0,,13.55,45.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
157.0,2019-2021,2020,70,74,2,3,7,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
158.0,2019-2021,2021,9,72,2,3,7,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
159.0,2019-2021,2019,566,73,1,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
160.0,2019-2021,2019,0,78,2,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
161.0,2019-2021,2020,356,47,2,1,1,1.0,,,,1.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
162.0,2019-2021,2020,81,60,2,1,1,1.0,,,,66.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
163.0,2019-2021,2020,0,63,1,1,2,1.0,,,,48.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
164.0,2019-2021,2020,0,32,1,1,2,1.0,,,,37.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
165.0,2019-2021,2020,69,69,2,3,1,,,,,58.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
166.0,2019-2021,2020,0,83,1,3,7,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
167.0,2019-2021,2020,333,62,2,1,1,1.0,481.0,,13.0,18.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
168.0,2019-2021,2020,250,69,1,3,1,,,,,8.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
169.0,2019-2021,2020,0,64,2,3,2,,,,,1.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
170.0,2019-2021,2020,219,59,1,1,1,1.0,443.0,80.0,11.97,30.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
171.0,2019-2021,2021,352,50,2,1,1,1.0,519.0,,13.66,18.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
172.0,2019-2021,2021,0,57,1,1,2,1.0,459.0,,11.48,84.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
173.0,2019-2021,2021,977,24,2,1,1,1.0,538.0,,13.45,1.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
174.0,2019-2021,2021,1410,23,1,1,1,1.0,531.0,,13.28,1.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
175.0,2019-2021,2021,466,38,2,1,1,1.0,438.0,9.8,10.95,48.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
176.0,2019-2021,2021,0,39,1,1,2,1.0,550.0,80.0,18.33,58.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
177.0,2019-2021,2021,0,17,1,3,2,,,,,58.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
178.0,2019-2021,2019,706,57,1,3,1,,,,,26.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
179.0,2019-2021,2019,0,23,2,3,2,,,,,58.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
180.0,2019-2021,2020,95,76,2,1,1,2.0,,8.0,,58.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
181.0,2019-2021,2020,72,73,1,3,7,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
182.0,2019-2021,2020,91,43,2,1,1,1.0,508.0,,12.7,1.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
183.0,2019-2021,2020,0,42,1,1,2,1.0,,,,30.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
184.0,2019-2021,2020,0,12,2,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
185.0,2019-2021,2020,0,10,2,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
186.0,2019-2021,2020,317,78,1,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
187.0,2019-2021,2020,204,56,1,3,1,,,,,8.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
188.0,2019-2021,2020,235,51,1,1,1,2.0,,,,8.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
189.0,2019-2021,2020,191,84,1,3,7,,,,,,1.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
190.0,2019-2021,2020,0,54,1,3,2,,,,,84.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
191.0,2019-2021,2020,158,55,2,1,1,2.0,,,,1.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
192.0,2019-2021,2020,0,59,1,1,2,1.0,788.0,,41.35,1.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
193.0,2019-2021,2020,0,20,1,3,2,,,,,37.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
194.0,2019-2021,2020,190,76,1,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
195.0,2019-2021,2020,208,76,2,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
196.0,2019-2021,2020,193,81,2,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
197.0,2019-2021,2020,193,78,2,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
198.0,2019-2021,2020,157,68,1,1,1,2.0,277.0,80.0,11.54,40.0,1.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
